id,store,category,title,titleFa,price,stock,rating,reviews,description,descriptionFa,specs,imageUrl
nm005,namshi,kids,"Ralph Lauren Kids Set","ست رالف لورن کودک",3200000,10,4.7,123,"Ralph Lauren Children's 3-Piece Premium Cotton Set - Spring 2024","ست سه تکه بچگانه رالف لورن از جنس پنبه مرغوب","{""Material"":""100% Cotton"",""Age"":""4-8y"",""Origin"":""USA""}",/api/placeholder/400/300
am006,amazon,books,"Atomic Habits - J. Clear","عادت‌های اتمی - جیمز کلیر",980000,25,4.9,1254,"#1 NYT Bestseller 2024 Edition with New Chapter","کتاب پرفروش عادت‌های اتمی با فصل جدید - ترجمه رسمی","{""Format"":""Hardcover"",""Pages"":""320"",""Language"":""Persian""}",/api/placeholder/400/300
am007,amazon,smart-home,"Google Nest Hub Max","گوگل نست هاب مکس",8900000,8,4.7,342,"Google Nest Hub Max with 10-inch HD Display and Built-in Nest Cam","دستیار هوشمند گوگل با نمایشگر ۱۰ اینچی و دوربین نست","{""Display"":""10inch HD"",""Assistant"":""Google"",""Camera"":""6.5MP""}",/api/placeholder/400/300
am008,amazon,kitchen,"KitchenAid Pro Stand Mixer","همزن کیچن‌اید پرو",32500000,4,4.8,567,"KitchenAid Professional 600 Series Bowl-Lift Stand Mixer","همزن حرفه‌ای کیچن‌اید سری ۶۰۰ با کاسه ۶ لیتری","{""Power"":""575W"",""Capacity"":""6L"",""Speeds"":""10""}",/api/placeholder/400/300
tr006,trendyol,home,"Turkish Cotton Bedding Set","ست روتختی نخ ترک",3200000,15,4.6,234,"Premium Turkish Cotton King Size Bedding Set - 400TC","ست روتختی دونفره از جنس نخ مرغوب ترک با تراکم ۴۰۰","{""Size"":""King"",""Material"":""Turkish Cotton"",""Pieces"":""6""}",/api/placeholder/400/300
tr007,trendyol,toys,"LEGO Technic Porsche","لگو تکنیک پورشه",4500000,7,4.8,156,"LEGO Technic Porsche 911 GT3 RS (42056)","لگو تکنیک پورشه ۹۱۱ جی‌تی۳ - مدل اصلی","{""Pieces"":""2704"",""Age"":""16+"",""Scale"":""1:8""}",/api/placeholder/400/300
tr008,trendyol,jewelry,"Swarovski Crystal Set","ست سواروسکی",6800000,5,4.7,89,"Swarovski Infinity Crystal Jewelry Set - 2024 Collection","ست جواهرات کریستال سواروسکی مدل اینفینیتی","{""Material"":""Crystal"",""Plating"":""Rhodium"",""Pieces"":""3""}",/api/placeholder/400/300
nm006,namshi,electronics,"Bose QuietComfort Ultra","هدفون بوز کوایت‌کامفورت",14500000,6,4.8,234,"Bose QuietComfort Ultra Headphones with Spatial Audio","هدفون پیشرفته بوز با صدای فضایی و حذف نویز","{""Battery"":""24h"",""ANC"":""Ultra"",""Bluetooth"":""5.3""}",/api/placeholder/400/300
nm007,namshi,sports,"Wilson Pro Staff RF97","راکت تنیس ویلسون RF97",9200000,4,4.9,167,"Wilson Pro Staff RF97 v14 Tennis Racket - Federer Autograph","راکت تنیس حرفه‌ای ویلسون مدل راجر فدرر","{""Weight"":""340g"",""Head"":""97sq"",""String"":""16x19""}",/api/placeholder/400/300
nm008,namshi,beauty,"La Mer Collection","ست لامر",32000000,3,4.8,78,"La Mer Crème de la Mer Ultimate Collection","ست مراقبت پوست لوکس لامر با کرم افسانه‌ای","{""Items"":""5pcs"",""Size"":""Full"",""Origin"":""USA""}",/api/placeholder/400/300
am009,amazon,gaming,"Xbox Series X","ایکس باکس سری ایکس",19800000,6,4.8,445,"Xbox Series X Console with Starfield Digital","کنسول ایکس‌باکس سری ایکس به همراه بازی استارفیلد","{""Storage"":""1TB"",""GPU"":""12TFLOPS"",""Resolution"":""8K""}",/api/placeholder/400/300
tr009,trendyol,groceries,"Premium Tea Set","ست چای درجه یک",1250000,30,4.5,234,"Premium Ceylon Tea Collection Box","جعبه چای سیلان اعلا با طعم‌های مختلف","{""Weight"":""500g"",""Types"":""6"",""Origin"":""Ceylon""}",/api/placeholder/400/300
nm009,namshi,watches,"TAG Heuer Carrera","ساعت تگ هویر کررا",185000000,2,4.9,45,"TAG Heuer Carrera Chronograph Calibre Heuer 02","ساعت کرونوگراف تگ هویر کررا با موتور اصلی ۰۲","{""Movement"":""Automatic"",""Case"":""Steel"",""WR"":""100m""}",/api/placeholder/400/300
am010,amazon,office,"Herman Miller Aeron","صندلی ارگونومیک هرمن میلر",48500000,3,4.9,678,"Herman Miller Aeron 2024 - Size B with PostureFit SL","صندلی اداری ارگونومیک هرمن میلر با پشتیبانی کامل کمر","{""Size"":""B"",""Material"":""Pellicle"",""Warranty"":""12y""}",/api/placeholder/400/300
am011,amazon,outdoor,"North Face Tent","چادر نورث‌فیس",8900000,6,4.7,234,"The North Face Geodome 4 Expedition Tent","چادر اکسپدیشن نورث‌فیس مدل ژئودام ۴ نفره","{""Capacity"":""4P"",""Season"":""4"",""Weight"":""4.8kg""}",/api/placeholder/400/300
tr010,trendyol,pets,"Royal Canin Pro","غذای رویال کنین پرو",2850000,25,4.8,445,"Royal Canin Professional Adult Dog Food 12KG","غذای سگ بالغ رویال کنین حرفه‌ای ۱۲ کیلویی","{""Weight"":""12kg"",""Age"":""Adult"",""Type"":""Premium""}",/api/placeholder/400/300
tr011,trendyol,health,"Theragun PRO","ماساژور ترا‌گان پرو",24500000,4,4.9,167,"Theragun PRO (5th Gen) Percussive Therapy","ماساژور حرفه‌ای ترا‌گان نسل پنجم","{""Speed"":""5"",""Battery"":""5h"",""Force"":""27kg""}",/api/placeholder/400/300
nm010,namshi,music,"Yamaha P-515","پیانو یاماها P515",45000000,2,4.8,89,"Yamaha P-515 Digital Piano with Wood Keys","پیانو دیجیتال یاماها با کلید چوبی","{""Keys"":""88"",""Sounds"":""538"",""Speakers"":""15W""}",/api/placeholder/400/300
nm011,namshi,art,"Faber-Castell Set","ست فابر-کاستل",3200000,15,4.7,123,"Faber-Castell Polychromos Master Set","ست کامل مدادرنگی پلی‌کروموس فابر-کاستل","{""Colors"":""120"",""Type"":""Professional"",""Case"":""Wood""}",/api/placeholder/400/300
am012,amazon,auto,"ESCORT MAX 360","دستگاه اسکورت مکس",8500000,8,4.6,234,"ESCORT MAX 360c MKII Radar Detector","دستگاه راداریاب اسکورت مکس ۳۶۰ نسخه دوم","{""Range"":""Long"",""GPS"":""Yes"",""Bluetooth"":""5.0""}",/api/placeholder/400/300
tr012,trendyol,fitness,"Bowflex Max M9","دستگاه بوفلکس",85000000,3,4.8,156,"Bowflex Max Trainer M9 with 10.1\" Screen","دستگاه چندکاره بوفلکس با نمایشگر ۱۰ اینچی","{""Programs"":""20"",""Resistance"":""20"",""Display"":""10.1inch""}",/api/placeholder/400/300
nm012,namshi,tools,"DeWalt Power Set","ست ابزار دیوالت",12500000,6,4.7,278,"DeWalt 20V MAX XR Power Tools Combo","ست ابزار شارژی ۲۰ ولت دیوالت سری XR","{""Voltage"":""20V"",""Tools"":""5pcs"",""Battery"":""4Ah""}",/api/placeholder/400/300
